,dire_losses,dire_win,duration,gold_advantage,kills,matches,radiant_losses,radiant_wins,team,unique_heroes_banned_against,unique_heroes_played,xp_advantage,team_id,wins,losses,name,patch_wins,patch_win_rate,win_rate
10,10.0,9.0,2160.2368421052633,-3599.4473684210525,-2.3157894736842106,38.0,12.0,7.0,7930695.0,57.0,73.0,-5597.368421052632,7930695,16,22,FAMILY TEAM,16.0,0.42105263157894735,0.42105263157894735
12,21.0,14.0,2147.9032258064517,-5242.0,-3.435483870967742,62.0,15.0,12.0,6214973.0,68.0,91.0,-10570.790322580646,6214973,220,212,Ninjas in Pyjamas,26.0,0.41935483870967744,0.5092592592592593
14,17.0,24.0,2057.0125,2863.125,1.85,80.0,17.0,22.0,1883502.0,63.0,89.0,1125.525,1883502,1244,943,Virtus.pro,46.0,0.575,0.5688157293095565
16,6.0,10.0,2055.9692307692308,2810.3230769230768,3.169230769230769,65.0,20.0,29.0,726228.0,64.0,76.0,3449.646153846154,726228,1150,758,Vici Gaming,39.0,0.6,0.6027253668763103
17,22.0,20.0,2200.657894736842,-1316.4736842105262,-1.5921052631578947,76.0,17.0,17.0,7407260.0,68.0,86.0,-550.8026315789474,7407260,153,103,Sparking Arrow Gaming,37.0,0.4868421052631579,0.59765625
18,9.0,15.0,2251.5714285714284,955.125,-0.9821428571428571,56.0,17.0,15.0,4.0,65.0,85.0,-377.32142857142856,4,715,573,EHOME,30.0,0.5357142857142857,0.5551242236024845
20,12.0,27.0,2058.6708860759495,6133.772151898735,5.822784810126582,79.0,15.0,25.0,15.0,70.0,90.0,7345.151898734177,15,1212,787,PSG.LGD,52.0,0.6582278481012658,0.6063031515757878
21,13.0,9.0,2256.2830188679245,-1809.8867924528302,0.22641509433962265,53.0,16.0,15.0,6209166.0,66.0,76.0,-3771.9811320754716,6209166,223,213,Team Aster,24.0,0.4528301886792453,0.5114678899082569
22,27.0,29.0,2248.788888888889,2296.7555555555555,0.7777777777777778,90.0,13.0,21.0,5.0,73.0,88.0,4943.188888888889,5,1111,758,INVICTUS GAMING,50.0,0.5555555555555556,0.5944355270197966
23,12.0,17.0,2175.58024691358,1268.4444444444443,4.925925925925926,81.0,21.0,31.0,1520578.0,68.0,94.0,2357.185185185185,1520578,678,541,CDEC ,48.0,0.5925925925925926,0.5561936013125512
24,26.0,16.0,2115.078431372549,1151.6764705882354,-3.0,102.0,30.0,30.0,2277712.0,71.0,89.0,-2388.3529411764707,2277712,122,115,StarLucK.Fly,46.0,0.45098039215686275,0.5147679324894515
25,20.0,31.0,2013.0746268656717,3551.9402985074626,1.044776119402985,67.0,10.0,6.0,6209804.0,64.0,69.0,5379.298507462687,6209804,256,204,Royal Never Give Up,37.0,0.5522388059701493,0.5565217391304348
26,6.0,7.0,1973.590909090909,-342.34090909090907,2.8181818181818183,44.0,14.0,17.0,7059982.0,68.0,76.0,87.72727272727273,7059982,87,97,Team Sirius,24.0,0.5454545454545454,0.47282608695652173
27,18.0,12.0,1955.4590163934427,-4137.934426229508,-2.9672131147540983,61.0,19.0,12.0,7514223.0,63.0,89.0,-5113.819672131148,7514223,39,74,Longinus,24.0,0.39344262295081966,0.34513274336283184
28,23.0,15.0,2057.5333333333333,-6257.511111111111,-5.111111111111111,45.0,6.0,1.0,2626685.0,68.0,66.0,-7795.8,2626685,397,396,KEEN GAMING,16.0,0.35555555555555557,0.5006305170239597
29,4.0,5.0,1982.032258064516,3952.7096774193546,6.419354838709677,31.0,6.0,16.0,7653600.0,54.0,68.0,6506.451612903225,7653600,65,68,Aggressive Mode,21.0,0.6774193548387096,0.48872180451127817
30,20.0,13.0,2203.4175824175823,-1576.5054945054944,0.3076923076923077,91.0,29.0,29.0,7667517.0,63.0,90.0,91.17582417582418,7667517,70,68,LGD.international,42.0,0.46153846153846156,0.5072463768115942
31,23.0,37.0,2229.4246575342468,-741.5068493150685,-1.2328767123287672,73.0,10.0,3.0,2640025.0,69.0,82.0,-784.3561643835617,2640025,562,518,iG.Vitality,40.0,0.547945205479452,0.5203703703703704
32,11.0,12.0,2100.237288135593,-1718.1525423728813,3.457627118644068,59.0,16.0,20.0,7470549.0,62.0,82.0,-1071.4406779661017,7470549,99,72,Blaze,32.0,0.5423728813559322,0.5789473684210527
33,12.0,10.0,2032.7846153846153,-2039.3692307692309,-1.2,65.0,24.0,19.0,7267298.0,70.0,78.0,-3977.353846153846,7267298,104,138,EHOME.Immortal,29.0,0.4461538461538462,0.4297520661157025
39,11.0,4.0,2168.703703703704,534.574074074074,-0.8703703703703703,54.0,21.0,18.0,7422789.0,54.0,72.0,-360.44444444444446,7422789,109,112,HellRaisers,22.0,0.4074074074074074,0.49321266968325794
40,9.0,14.0,2136.2881355932204,4097.050847457627,4.559322033898305,59.0,12.0,24.0,7555613.0,66.0,84.0,3363.4576271186443,7555613,89,74,OG.Seed,38.0,0.6440677966101694,0.5460122699386503
41,6.0,24.0,2071.7702702702704,3192.0675675675675,3.2972972972972974,74.0,22.0,22.0,7732977.0,77.0,85.0,5523.310810810811,7732977,90,64,BOOM Esports,46.0,0.6216216216216216,0.5844155844155844
42,11.0,34.0,2083.68115942029,8271.59420289855,5.797101449275362,69.0,6.0,18.0,350190.0,69.0,81.0,8713.434782608696,350190,1003,708,Fnatic,52.0,0.7536231884057971,0.5862068965517241
43,18.0,30.0,2245.677777777778,3580.3,4.2555555555555555,90.0,17.0,25.0,7424172.0,68.0,91.0,3573.8555555555554,7424172,89,74,T1,55.0,0.6111111111111112,0.5460122699386503
44,14.0,25.0,2168.7,1570.1857142857143,2.5714285714285716,70.0,17.0,14.0,7098928.0,68.0,85.0,851.3142857142857,7098928,246,164,Adroit,39.0,0.5571428571428572,0.6
